game,day,CDA.ask.accepted.quantity,CDA.bid.accepted.quantity,CDA.ask.accepted.price.min,CDA.bid.accepted.price.min,CDA.ask.accepted.price.max,CDA.bid.accepted.price.max,CDA.ask.accepted.price.mean,CDA.bid.accepted.price.mean,CDA.ask.accepted.price.stdev,CDA.bid.accepted.price.stdev,CDA.transaction.quantity,CDA.transaction.price.min,CDA.transaction.price.max,CDA.transaction.price.mean,CDA.transaction.price.stdev
0,15,+6.000,+6.000,+101.717,+105.496,+112.425,+119.355,+104.189,+113.082,+3.703,+4.645,+6.000,+103.607,+115.890,+108.636,+3.813
0,16,+6.000,+6.000,+97.138,+101.717,+101.374,+113.922,+100.048,+105.371,+1.824,+4.441,+6.000,+99.427,+107.604,+102.710,+2.632
0,17,+6.000,+6.000,+100.114,+101.986,+101.286,+127.986,+100.580,+106.482,+0.432,+9.618,+6.000,+101.106,+114.106,+103.531,+4.733
0,18,+18.000,+18.000,+99.573,+100.958,+105.599,+140.103,+102.145,+109.682,+1.603,+11.524,+18.000,+100.266,+122.089,+105.914,+6.009
0,19,+15.000,+15.000,+101.286,+104.195,+117.576,+128.065,+105.056,+113.954,+4.207,+8.378,+15.000,+102.740,+122.821,+109.505,+5.787
0,20,+13.000,+13.000,+98.591,+100.130,+104.876,+124.820,+102.021,+106.957,+2.379,+5.427,+13.000,+99.771,+114.848,+104.489,+3.400
0,21,+10.000,+10.000,+96.451,+98.591,+106.947,+152.187,+100.617,+115.087,+2.783,+20.309,+10.000,+97.521,+126.937,+107.852,+10.638
0,22,+7.000,+7.000,+96.599,+105.158,+99.599,+122.873,+98.415,+111.378,+1.067,+5.025,+7.000,+101.997,+111.174,+104.896,+2.709
0,23,+15.000,+15.000,+96.849,+98.634,+104.876,+118.159,+102.083,+107.099,+2.507,+6.179,+15.000,+97.742,+111.518,+104.591,+4.064
0,24,+13.000,+13.000,+98.837,+98.837,+103.253,+116.077,+100.915,+106.228,+1.555,+4.998,+13.000,+98.837,+108.312,+103.572,+2.830
0,25,+6.000,+6.000,+97.817,+101.693,+100.855,+102.155,+99.555,+101.924,+1.099,+0.231,+6.000,+99.986,+101.274,+100.739,+0.492
0,26,+11.000,+11.000,+96.259,+96.543,+100.788,+125.992,+99.003,+105.510,+1.545,+8.159,+11.000,+96.401,+112.946,+102.256,+4.402
0,27,+8.000,+8.000,+101.183,+102.562,+108.514,+128.429,+104.464,+115.230,+2.445,+10.859,+8.000,+102.441,+118.080,+109.847,+5.829
0,28,+6.000,+6.000,+99.131,+109.474,+100.788,+161.643,+100.070,+136.407,+0.599,+25.266,+6.000,+105.131,+130.937,+118.239,+12.442
0,29,+12.000,+12.000,+96.943,+103.228,+111.058,+124.097,+101.397,+109.931,+3.242,+7.313,+12.000,+101.165,+117.516,+105.664,+4.836
0,30,+10.000,+10.000,+97.185,+99.062,+107.783,+174.469,+100.895,+115.631,+2.946,+21.306,+10.000,+98.737,+137.629,+108.263,+11.024
0,31,+9.000,+9.000,+99.420,+103.634,+109.771,+144.657,+101.775,+123.446,+2.987,+16.284,+9.000,+102.211,+123.120,+112.610,+7.938
0,32,+16.000,+16.000,+99.736,+101.269,+111.135,+147.338,+102.617,+116.058,+3.566,+14.190,+16.000,+100.612,+124.795,+109.337,+7.844
0,33,+0.000,+0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,+0.000,NaN,NaN,NaN,NaN
0,34,+9.000,+9.000,+97.388,+99.332,+105.012,+119.597,+99.073,+103.435,+2.254,+6.003,+9.000,+98.360,+109.542,+101.254,+3.510
0,35,+3.000,+3.000,+97.388,+125.189,+97.388,+125.189,+97.388,+125.189,+0.000,+0.000,+3.000,+111.288,+111.288,+111.288,+0.000
0,36,+10.000,+10.000,+96.444,+96.624,+109.623,+118.681,+102.680,+107.797,+3.793,+8.448,+10.000,+96.534,+114.152,+105.238,+5.915
0,37,+10.000,+10.000,+97.632,+97.817,+108.803,+144.197,+102.432,+118.744,+3.806,+10.592,+10.000,+97.724,+122.801,+110.588,+5.799
0,38,+5.000,+5.000,+96.526,+97.854,+104.709,+106.068,+100.562,+103.329,+3.331,+3.465,+5.000,+97.190,+105.388,+101.946,+3.150
0,39,+12.000,+12.000,+97.604,+99.873,+103.376,+107.991,+100.688,+103.095,+1.683,+2.324,+12.000,+99.525,+104.961,+101.892,+1.760
0,40,+20.000,+20.000,+95.485,+96.277,+111.089,+146.055,+100.333,+112.302,+3.866,+16.561,+20.000,+95.881,+126.133,+106.318,+9.444
