game,day,CDA.transaction.quantity,CH.transaction.quantity,CDA.transaction.price.min,CH.transaction.price.min,CDA.transaction.price.max,CH.transaction.price.max,CDA.transaction.price.mean,CH.transaction.price.mean,CDA.transaction.price.stdev,CH.transaction.price.stdev,CDA.ask.accepted.price.min,CDA.bid.accepted.price.min,CH.ask.accepted.price.min,CH.bid.accepted.price.min,CDA.ask.accepted.price.max,CDA.bid.accepted.price.max,CH.ask.accepted.price.max,CH.bid.accepted.price.max,CDA.ask.accepted.quantity,CDA.bid.accepted.quantity,CH.ask.accepted.quantity,CH.bid.accepted.quantity,CDA.ask.accepted.price.stdev,CDA.bid.accepted.price.stdev,CH.ask.accepted.price.stdev,CH.bid.accepted.price.stdev
1,10,+6.000,+10.000,+70.903,+103.375,+94.327,+112.434,+79.926,+108.521,+8.278,+3.013,+66.370,+71.401,+102.314,+106.034,+89.156,+99.498,+111.409,+117.164,+6.000,+6.000,+10.000,+10.000,+7.100,+11.106,+3.914,+2.976
1,11,+7.000,+10.000,+100.719,+88.811,+114.053,+108.662,+107.109,+103.622,+5.447,+5.224,+92.247,+109.191,+79.790,+97.832,+112.838,+118.174,+104.196,+145.859,+7.000,+7.000,+10.000,+10.000,+8.606,+3.003,+9.492,+15.058
1,12,+10.000,+9.000,+84.530,+105.913,+127.839,+109.299,+108.834,+107.872,+15.140,+1.213,+56.223,+104.292,+100.719,+106.107,+126.863,+128.816,+109.299,+115.031,+10.000,+10.000,+9.000,+9.000,+23.587,+7.417,+2.353,+2.333
1,13,+10.000,+7.000,+75.211,+104.121,+106.967,+115.616,+95.836,+112.009,+10.194,+4.403,+60.188,+87.501,+83.457,+107.378,+105.068,+122.807,+107.352,+138.962,+10.000,+10.000,+7.000,+7.000,+13.511,+12.683,+8.221,+9.829
1,14,+17.000,+8.000,+83.321,+79.162,+149.067,+95.883,+108.455,+87.687,+20.358,+6.174,+75.692,+88.830,+67.833,+79.631,+138.739,+159.396,+90.947,+110.360,+17.000,+17.000,+8.000,+8.000,+19.659,+23.479,+8.116,+10.141
1,15,+11.000,+4.000,+86.507,+113.413,+107.770,+115.361,+96.271,+114.578,+6.509,+0.828,+79.827,+93.186,+80.838,+115.158,+105.895,+109.645,+104.002,+117.528,+11.000,+11.000,+4.000,+4.000,+8.990,+5.517,+10.030,+1.026
1,16,+18.000,+9.000,+83.401,+105.192,+115.079,+111.161,+96.206,+108.020,+7.323,+2.193,+76.722,+90.081,+82.295,+109.299,+107.255,+122.904,+108.892,+116.705,+18.000,+18.000,+9.000,+9.000,+6.732,+8.783,+8.220,+3.070
1,17,+4.000,+7.000,+114.163,+98.983,+130.289,+109.536,+122.833,+105.708,+5.734,+3.366,+113.313,+115.013,+80.977,+100.670,+130.289,+131.960,+109.484,+125.110,+4.000,+4.000,+7.000,+7.000,+6.847,+7.039,+8.525,+7.931
1,18,+16.000,+12.000,+70.538,+73.068,+116.824,+93.882,+95.764,+81.499,+13.194,+7.055,+54.267,+86.808,+63.916,+75.210,+110.561,+123.088,+88.086,+99.679,+16.000,+16.000,+12.000,+12.000,+16.486,+11.918,+6.840,+7.432
1,19,+16.000,+3.000,+67.078,+97.557,+129.346,+119.181,+98.917,+109.504,+14.568,+8.972,+56.071,+69.799,+60.384,+116.235,+124.777,+134.644,+60.384,+122.127,+16.000,+16.000,+3.000,+3.000,+16.811,+15.536,+0.000,+2.777
