game,day,CDA.transaction.quantity,CH.transaction.quantity,CDA.transaction.price.min,CH.transaction.price.min,CDA.transaction.price.max,CH.transaction.price.max,CDA.transaction.price.mean,CH.transaction.price.mean,CDA.transaction.price.stdev,CH.transaction.price.stdev,CDA.ask.accepted.price.min,CDA.bid.accepted.price.min,CH.ask.accepted.price.min,CH.bid.accepted.price.min,CDA.ask.accepted.price.max,CDA.bid.accepted.price.max,CH.ask.accepted.price.max,CH.bid.accepted.price.max,CDA.ask.accepted.quantity,CDA.bid.accepted.quantity,CH.ask.accepted.quantity,CH.bid.accepted.quantity,CDA.ask.accepted.price.stdev,CDA.bid.accepted.price.stdev,CH.ask.accepted.price.stdev,CH.bid.accepted.price.stdev
0,16,+0.000,+0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,+0.000,+0.000,+0.000,+0.000,NaN,NaN,NaN,NaN
0,17,+0.000,+0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,+0.000,+0.000,+0.000,+0.000,NaN,NaN,NaN,NaN
0,18,+0.000,+0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,+0.000,+0.000,+0.000,+0.000,NaN,NaN,NaN,NaN
0,19,+0.000,+0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,+0.000,+0.000,+0.000,+0.000,NaN,NaN,NaN,NaN
0,20,+0.000,+0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,+0.000,+0.000,+0.000,+0.000,NaN,NaN,NaN,NaN
0,21,+0.000,+0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,+0.000,+0.000,+0.000,+0.000,NaN,NaN,NaN,NaN
0,22,+3.000,+0.000,+96.112,NaN,+96.171,NaN,+96.136,NaN,+0.026,NaN,+95.962,+96.261,NaN,NaN,+96.082,+96.261,NaN,NaN,+3.000,+3.000,+0.000,+0.000,+0.052,+0.000,NaN,NaN
0,23,+3.000,+1.000,+98.251,+98.378,+107.989,+98.378,+102.392,+98.378,+4.107,+0.000,+97.583,+98.919,+98.195,+98.561,+100.557,+115.422,+98.195,+98.561,+3.000,+3.000,+1.000,+1.000,+1.402,+6.873,+0.000,+0.000
0,24,+3.000,+0.000,+109.900,NaN,+112.575,NaN,+111.189,NaN,+1.094,NaN,+100.640,+119.161,NaN,NaN,+105.989,+119.161,NaN,NaN,+3.000,+3.000,+0.000,+0.000,+2.188,+0.000,NaN,NaN
0,25,+3.000,+0.000,+97.145,NaN,+99.672,NaN,+98.449,NaN,+1.033,NaN,+95.523,+98.766,NaN,NaN,+95.523,+103.821,NaN,NaN,+3.000,+3.000,+0.000,+0.000,+0.000,+2.067,NaN,NaN
