game,day,buyerGD_0.value,buyerGD_1.value,buyerGD_2.value,buyerGD_3.value,buyerGD_4.value,buyerRE_0.value,buyerRE_1.value,buyerRE_2.value,buyerRE_3.value,buyerRE_4.value,buyerZIC_0.value,buyerZIC_1.value,buyerZIC_2.value,buyerZIC_3.value,buyerZIC_4.value,buyerZIP_0.value,buyerZIP_1.value,buyerZIP_2.value,buyerZIP_3.value,buyerZIP_4.value,sellerGD_0.value,sellerGD_1.value,sellerGD_2.value,sellerGD_3.value,sellerGD_4.value,sellerRE_0.value,sellerRE_1.value,sellerRE_2.value,sellerRE_3.value,sellerRE_4.value,sellerZIC_0.value,sellerZIC_1.value,sellerZIC_2.value,sellerZIC_3.value,sellerZIC_4.value,sellerZIP_0.value,sellerZIP_1.value,sellerZIP_2.value,sellerZIP_3.value,sellerZIP_4.value
0,1803,+104.077,+102.718,+103.718,+96.998,+95.873,+101.755,+106.723,+98.055,+101.982,+100.478,+102.206,+102.822,+99.009,+101.978,+101.179,+101.006,+102.971,+100.085,+104.833,+100.857,+96.345,+96.184,+100.246,+103.560,+103.987,+104.994,+102.204,+104.137,+95.865,+100.173,+98.578,+98.072,+100.219,+99.460,+101.966,+104.453,+96.490,+99.361,+95.507,+98.908
0,1804,+99.138,+101.047,+99.774,+101.478,+101.178,+104.118,+102.128,+101.476,+101.197,+102.289,+101.000,+100.514,+103.391,+103.653,+101.922,+105.207,+102.570,+99.153,+103.849,+106.168,+97.984,+102.995,+100.755,+100.445,+102.382,+96.320,+103.201,+100.810,+101.312,+103.580,+97.398,+104.905,+101.476,+99.772,+96.768,+96.751,+104.272,+104.455,+95.498,+101.489
0,1805,+102.050,+101.643,+105.242,+98.518,+98.584,+101.542,+101.243,+104.643,+104.020,+105.789,+101.492,+103.871,+102.225,+100.866,+100.038,+99.153,+98.230,+98.897,+98.337,+103.664,+95.105,+104.372,+103.300,+95.604,+98.643,+98.967,+102.419,+98.779,+95.293,+100.113,+100.936,+102.005,+101.942,+104.816,+98.778,+104.200,+104.321,+102.014,+104.287,+103.411
0,1806,+99.032,+101.978,+105.683,+101.583,+105.710,+97.742,+100.319,+103.308,+101.225,+100.816,+101.051,+105.654,+104.142,+98.384,+100.886,+99.377,+104.979,+104.761,+100.879,+98.417,+98.250,+97.691,+101.640,+98.756,+95.260,+96.306,+97.513,+103.299,+103.363,+104.762,+104.961,+101.979,+101.600,+100.225,+100.015,+103.461,+97.276,+95.141,+101.935,+99.229
0,1807,+101.098,+98.170,+100.377,+101.990,+102.861,+104.265,+101.121,+105.921,+102.652,+102.014,+99.763,+102.898,+96.103,+97.407,+101.238,+101.609,+102.215,+98.591,+99.854,+100.955,+100.392,+100.617,+96.612,+103.559,+95.274,+101.122,+101.012,+103.769,+98.825,+98.431,+98.837,+104.860,+97.601,+102.298,+96.370,+96.756,+103.688,+95.016,+97.446,+97.044
0,1808,+100.260,+98.898,+105.553,+94.821,+101.830,+107.557,+100.777,+101.849,+103.392,+98.622,+103.998,+102.674,+103.192,+96.263,+102.565,+97.413,+100.727,+102.040,+98.646,+98.764,+100.533,+96.905,+100.036,+103.823,+104.225,+104.675,+100.158,+97.170,+100.148,+100.909,+97.312,+102.426,+99.571,+100.818,+99.747,+103.754,+96.779,+98.937,+104.135,+97.966
0,1809,+102.748,+102.140,+101.550,+103.557,+104.707,+100.849,+102.339,+102.999,+101.492,+96.114,+98.694,+101.804,+103.652,+101.391,+103.606,+102.739,+99.759,+105.053,+102.241,+102.124,+98.676,+96.157,+104.016,+101.834,+96.531,+103.743,+103.769,+96.626,+98.236,+99.451,+99.106,+95.165,+101.943,+98.178,+95.622,+104.630,+103.076,+96.951,+103.283,+102.689
0,1810,+103.784,+103.663,+101.900,+97.097,+96.556,+102.978,+102.746,+101.878,+101.042,+103.054,+101.430,+97.694,+105.651,+103.639,+101.225,+92.878,+106.437,+99.433,+102.912,+100.261,+100.354,+104.444,+100.243,+95.134,+100.389,+103.416,+101.474,+103.032,+104.152,+101.428,+95.507,+98.390,+96.464,+103.261,+95.649,+104.093,+99.817,+97.835,+96.264,+102.321
0,1811,+102.812,+104.912,+100.476,+100.936,+103.125,+101.464,+99.692,+104.816,+99.471,+99.668,+104.420,+99.315,+104.120,+97.079,+100.442,+98.448,+100.171,+101.878,+100.658,+105.650,+102.874,+104.329,+100.707,+99.369,+104.015,+102.447,+100.582,+97.883,+101.937,+101.004,+97.593,+100.795,+103.941,+98.568,+100.682,+97.761,+98.214,+96.948,+102.330,+95.974
0,1812,+102.737,+101.231,+103.503,+101.932,+97.589,+101.958,+101.541,+102.754,+103.430,+103.409,+105.044,+97.253,+100.499,+107.234,+103.838,+103.169,+103.788,+100.230,+100.561,+103.727,+100.299,+98.312,+100.460,+99.467,+98.542,+101.848,+99.111,+102.798,+99.986,+99.907,+97.082,+104.233,+103.329,+96.204,+96.186,+98.043,+95.510,+101.066,+100.184,+98.321
